18:19:55.553 [main] INFO  org.fasttrackit.demo02.Demo02Application - Starting Demo02Application using Java 11.0.12 on DESKTOP-1QRTUM7 with PID 31280 (C:\work\repos\personal\training-java-won3\spring-demo-02\build\classes\java\main started by User in C:\work\repos\personal\training-java-won3\spring-demo-02) <no request,no span> 
18:19:55.571 [main] INFO  org.fasttrackit.demo02.Demo02Application - No active profile set, falling back to default profiles: default <no request,no span> 
18:20:07.577 [main] INFO  org.fasttrackit.demo02.Demo02Application - Started Demo02Application in 12.793 seconds (JVM running for 15.096) <no request,no span> 
18:22:13.153 [main] INFO  org.fasttrackit.demo02.Demo02Application - Starting Demo02Application using Java 11.0.12 on DESKTOP-1QRTUM7 with PID 8336 (C:\work\repos\personal\training-java-won3\spring-demo-02\build\classes\java\main started by User in C:\work\repos\personal\training-java-won3\spring-demo-02) <no request,no span> 
18:22:13.161 [main] INFO  org.fasttrackit.demo02.Demo02Application - No active profile set, falling back to default profiles: default <no request,no span> 
18:22:21.027 [main] INFO  org.fasttrackit.demo02.Demo02Application - Started Demo02Application in 8.44 seconds (JVM running for 10.347) <no request,no span> 
18:27:43.714 [main] INFO  org.fasttrackit.demo02.Demo02Application - Starting Demo02Application using Java 11.0.12 on DESKTOP-1QRTUM7 with PID 15536 (C:\work\repos\personal\training-java-won3\spring-demo-02\build\classes\java\main started by User in C:\work\repos\personal\training-java-won3\spring-demo-02) <no request,no span> 
18:27:43.720 [main] INFO  org.fasttrackit.demo02.Demo02Application - No active profile set, falling back to default profiles: default <no request,no span> 
18:27:52.831 [main] INFO  org.fasttrackit.demo02.Demo02Application - Started Demo02Application in 9.892 seconds (JVM running for 12.015) <no request,no span> 
18:30:20.561 [main] INFO  org.fasttrackit.demo02.Demo02Application - Starting Demo02Application using Java 11.0.12 on DESKTOP-1QRTUM7 with PID 19812 (C:\work\repos\personal\training-java-won3\spring-demo-02\build\classes\java\main started by User in C:\work\repos\personal\training-java-won3\spring-demo-02) <no request,no span> 
18:30:20.567 [main] INFO  org.fasttrackit.demo02.Demo02Application - No active profile set, falling back to default profiles: default <no request,no span> 
18:30:30.196 [main] INFO  org.fasttrackit.demo02.Demo02Application - Started Demo02Application in 10.256 seconds (JVM running for 12.628) <no request,no span> 
